               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12241,             0.15664,             0.02843,           0.0024691,             0.15136,           0.0015598,           0.0002813,             0.11977,            0.068514,            0.027706,              0.0964,              0.0004,              0.0004
                   1,             0.12099,             0.20135,            0.027599,           0.0038878,            0.086735,           0.0021735,           0.0003269,             0.11602,            0.073789,            0.026699,            0.091891,          0.00089109,          0.00089109
                   2,             0.11726,              0.1768,             0.02663,           0.0059613,            0.093537,           0.0035709,           0.0010773,             0.11101,            0.080206,            0.025058,            0.087372,           0.0013723,           0.0013723
                   3,             0.11347,             0.20242,            0.025823,           0.0066447,            0.091837,           0.0043394,           0.0011737,             0.10738,            0.084184,            0.023446,            0.082844,           0.0018436,           0.0018436
                   4,             0.11066,             0.22943,            0.024488,           0.0096383,            0.088435,           0.0065126,           0.0019573,             0.10385,            0.090429,              0.0208,            0.078305,            0.002305,            0.002305
                   5,             0.10805,             0.21624,            0.023527,            0.041317,            0.010204,           0.0048594,           0.0013923,             0.10199,             0.13752,             0.01793,            0.073756,           0.0027564,           0.0027564
                   6,             0.10279,             0.21546,            0.020961,             0.52067,            0.011905,           0.0049162,           0.0016345,            0.098851,              0.3487,            0.012937,            0.069198,            0.003198,            0.003198
                   7,            0.095084,             0.21076,             0.01825,             0.50932,            0.015306,           0.0041953,           0.0012207,            0.098691,             0.41576,             0.01012,             0.06463,           0.0036297,           0.0036297
                   8,            0.090988,             0.20762,            0.015989,             0.52697,            0.027211,           0.0076217,           0.0022803,            0.091979,             0.35178,            0.007847,            0.060052,           0.0040515,           0.0040515
                   9,             0.08739,             0.21452,            0.014912,             0.53299,             0.05102,             0.01277,           0.0043458,            0.082096,              0.2932,           0.0068452,            0.055463,           0.0044634,           0.0044634
                  10,            0.078649,             0.19591,            0.014144,             0.54093,            0.098639,            0.021191,           0.0067784,            0.089035,              0.2526,           0.0064005,            0.050865,           0.0048654,           0.0048654
                  11,            0.085764,             0.20191,            0.013534,             0.53732,             0.12245,            0.019877,           0.0063281,            0.087842,             0.22447,           0.0058948,            0.046257,           0.0052575,           0.0052575
                  12,            0.078649,             0.22165,            0.015626,              0.5708,             0.23299,             0.05395,            0.017736,            0.085062,              0.2095,           0.0054753,             0.04164,           0.0056397,           0.0056397
                  13,            0.078499,             0.21197,            0.017476,             0.52778,             0.22619,            0.021062,            0.007571,            0.094662,             0.23144,           0.0051184,            0.037012,            0.006012,            0.006012
                  14,            0.075947,             0.20585,            0.013574,             0.55719,             0.20918,            0.060956,            0.019237,            0.091878,              0.2191,           0.0051888,            0.032374,           0.0063744,           0.0063744
                  15,            0.075805,             0.19115,            0.012489,             0.60977,             0.20578,            0.093678,            0.034741,            0.069922,              0.1546,           0.0054454,            0.027727,           0.0067268,           0.0067268
                  16,            0.074244,             0.21025,            0.012321,              0.5821,             0.20748,            0.073899,            0.023704,            0.077384,             0.15326,           0.0054539,            0.023069,           0.0070694,           0.0070694
                  17,            0.074464,             0.19085,            0.014981,             0.65715,             0.20748,             0.14849,            0.060611,            0.086132,             0.15979,           0.0052861,            0.018402,           0.0074021,           0.0074021
                  18,            0.075445,             0.20245,            0.014521,              0.6395,             0.18027,             0.12621,            0.044091,             0.07851,              0.1326,           0.0056801,            0.013725,           0.0077249,           0.0077249
                  19,            0.072455,             0.24778,            0.014258,             0.65774,             0.20578,             0.15487,            0.061349,            0.070218,             0.14879,           0.0055559,           0.0090378,           0.0080378,           0.0080378
                  20,            0.066258,             0.22612,            0.013792,             0.65568,             0.23069,             0.15571,            0.055623,            0.058023,             0.12104,           0.0056671,             0.00802,             0.00802,             0.00802
                  21,             0.06499,             0.22122,            0.012672,             0.61499,             0.19388,             0.13114,            0.041901,            0.081135,             0.14732,           0.0054632,             0.00802,             0.00802,             0.00802
                  22,            0.070896,              0.2235,            0.016103,             0.66825,             0.22449,             0.16228,              0.0718,            0.065715,             0.10804,           0.0058782,            0.007921,            0.007921,            0.007921
                  23,            0.071573,             0.20651,            0.012544,             0.65407,             0.21429,             0.15176,            0.056709,            0.078735,             0.10611,           0.0063385,            0.007822,            0.007822,            0.007822
                  24,            0.072443,             0.18088,             0.01418,             0.70365,             0.20748,             0.18579,            0.084881,            0.060268,            0.088213,           0.0067987,            0.007723,            0.007723,            0.007723
                  25,            0.062277,             0.19959,            0.012964,             0.70657,             0.19636,             0.18947,            0.085845,            0.067989,             0.10101,           0.0064511,            0.007624,            0.007624,            0.007624
                  26,            0.068905,             0.21142,            0.013756,             0.74875,             0.21088,             0.20628,            0.090666,            0.067999,            0.094408,           0.0067022,            0.007525,            0.007525,            0.007525
                  27,            0.059154,             0.19664,            0.012464,             0.68699,             0.17007,             0.17058,            0.073785,            0.072943,            0.098719,           0.0065208,            0.007426,            0.007426,            0.007426
                  28,            0.070551,             0.20228,            0.015785,             0.80496,             0.25527,             0.26848,             0.14158,            0.052418,            0.083911,           0.0070568,            0.007327,            0.007327,            0.007327
                  29,            0.061936,             0.18974,            0.013662,             0.70196,             0.20918,             0.18091,            0.090002,            0.069866,            0.095619,           0.0066166,            0.007228,            0.007228,            0.007228
                  30,            0.063615,             0.18134,            0.012499,             0.71749,             0.22109,             0.22436,             0.10642,             0.05897,            0.082709,            0.007008,            0.007129,            0.007129,            0.007129
                  31,            0.052681,             0.17312,            0.012657,             0.68508,             0.17517,             0.16649,            0.075175,            0.063901,             0.08783,           0.0068693,             0.00703,             0.00703,             0.00703
                  32,            0.065843,             0.19638,            0.011541,             0.74763,             0.22109,             0.21772,             0.11369,            0.055083,            0.081335,           0.0071573,            0.006931,            0.006931,            0.006931
                  33,            0.058592,             0.19881,            0.012072,             0.72084,             0.23129,             0.21615,             0.10994,            0.058453,            0.084799,           0.0069469,            0.006832,            0.006832,            0.006832
                  34,            0.059334,             0.19429,            0.013088,             0.68854,             0.22109,             0.19525,            0.098363,            0.056415,            0.083987,           0.0070635,            0.006733,            0.006733,            0.006733
                  35,            0.050126,             0.18963,            0.010243,              0.6479,             0.21939,             0.16203,            0.059853,            0.065053,            0.090753,           0.0066507,            0.006634,            0.006634,            0.006634
                  36,            0.065316,             0.18672,            0.014628,             0.76344,             0.27211,             0.24507,             0.13047,            0.047377,            0.082449,           0.0071104,            0.006535,            0.006535,            0.006535
                  37,            0.049741,             0.17905,            0.013932,             0.78779,              0.2415,             0.25009,             0.14237,            0.051012,            0.088311,           0.0068415,            0.006436,            0.006436,            0.006436
                  38,            0.054927,             0.18152,            0.013697,             0.74732,              0.2381,              0.2417,             0.11575,            0.051396,            0.089127,           0.0067288,            0.006337,            0.006337,            0.006337
                  39,              0.0481,             0.21549,            0.013172,             0.79919,              0.2483,             0.26493,             0.14388,            0.047025,            0.092906,           0.0066528,            0.006238,            0.006238,            0.006238
                  40,            0.050433,             0.19515,            0.015137,             0.70363,              0.2585,             0.20745,             0.11486,            0.051466,            0.086872,           0.0067876,            0.006139,            0.006139,            0.006139
                  41,            0.050552,             0.17604,            0.011383,             0.79524,             0.26361,             0.26766,             0.14622,            0.046246,            0.083159,           0.0069414,             0.00604,             0.00604,             0.00604
                  42,            0.048079,             0.18597,            0.012281,             0.18593,             0.43707,             0.29383,             0.13385,            0.046807,             0.08854,             0.00696,            0.005941,            0.005941,            0.005941
                  43,            0.046499,             0.18274,            0.012939,             0.18785,             0.44558,             0.27907,             0.11561,            0.053131,            0.090488,           0.0067002,            0.005842,            0.005842,            0.005842
                  44,            0.053108,             0.19243,             0.01161,              0.7926,              0.2585,             0.27992,             0.14659,            0.048425,            0.084847,           0.0068172,            0.005743,            0.005743,            0.005743
                  45,            0.050261,             0.18691,            0.015137,              0.2805,             0.44218,             0.36195,             0.18795,            0.046564,            0.088147,           0.0067599,            0.005644,            0.005644,            0.005644
                  46,            0.049133,             0.19061,            0.011247,             0.80269,             0.26531,              0.2769,             0.15628,            0.047438,            0.091601,           0.0065611,            0.005545,            0.005545,            0.005545
                  47,             0.04791,             0.20314,            0.014028,             0.70386,             0.21939,             0.19906,             0.10429,            0.049905,            0.090928,           0.0067782,            0.005446,            0.005446,            0.005446
                  48,            0.050365,             0.17371,            0.011751,             0.79736,              0.2568,             0.26842,             0.14419,            0.045152,            0.086313,           0.0071513,            0.005347,            0.005347,            0.005347
                  49,            0.046778,             0.19475,             0.01261,             0.81892,             0.26531,             0.28704,             0.16916,              0.0447,            0.087498,            0.006932,            0.005248,            0.005248,            0.005248
                  50,            0.047299,             0.21724,             0.01359,             0.82771,             0.27891,             0.29679,             0.17362,             0.04471,            0.089275,           0.0068571,            0.005149,            0.005149,            0.005149
                  51,            0.045207,             0.16648,            0.011678,             0.83152,              0.2534,             0.27588,             0.14867,            0.050267,            0.079129,           0.0072752,             0.00505,             0.00505,             0.00505
                  52,            0.051129,             0.19525,             0.01414,             0.26401,             0.40986,              0.3182,             0.18676,            0.043813,             0.07897,           0.0073024,            0.004951,            0.004951,            0.004951
                  53,            0.044295,             0.19515,             0.01297,              0.2298,             0.42007,             0.32823,             0.17602,            0.044079,             0.08147,           0.0070168,            0.004852,            0.004852,            0.004852
                  54,            0.044479,             0.16709,            0.014155,             0.27661,             0.48129,             0.30691,             0.18121,             0.04465,            0.081243,           0.0071601,            0.004753,            0.004753,            0.004753
                  55,            0.042893,             0.19738,            0.013652,             0.75853,             0.26871,             0.24812,             0.12426,            0.047464,            0.086745,           0.0072141,            0.004654,            0.004654,            0.004654
                  56,            0.047559,             0.17732,            0.013241,             0.84085,              0.2586,             0.28812,             0.17346,            0.042501,             0.08423,           0.0073845,            0.004555,            0.004555,            0.004555
                  57,            0.042653,             0.17272,            0.011634,             0.82315,              0.2517,             0.26867,             0.15254,             0.04625,            0.084981,           0.0074385,            0.004456,            0.004456,            0.004456
                  58,            0.045046,             0.18955,            0.013657,             0.83989,              0.2585,             0.28802,             0.16784,            0.043938,            0.084353,            0.007443,            0.004357,            0.004357,            0.004357
                  59,            0.041271,             0.16644,            0.014256,             0.78654,             0.29762,             0.27948,             0.15678,            0.046967,            0.081845,           0.0073627,            0.004258,            0.004258,            0.004258
                  60,            0.045082,             0.18335,            0.011297,             0.81906,             0.27891,             0.29416,             0.18054,            0.043083,            0.080995,           0.0072219,            0.004159,            0.004159,            0.004159
                  61,            0.040752,             0.15736,            0.011758,             0.81317,             0.28793,             0.29549,             0.17686,            0.043404,            0.081348,           0.0071632,             0.00406,             0.00406,             0.00406
                  62,            0.039656,             0.18504,            0.011651,             0.81494,             0.29082,             0.30099,              0.1905,            0.040569,            0.081945,           0.0070431,            0.003961,            0.003961,            0.003961
                  63,            0.038703,             0.18221,            0.011912,             0.82662,             0.26592,             0.28624,             0.16165,            0.043754,            0.084407,           0.0068458,            0.003862,            0.003862,            0.003862
                  64,            0.042469,             0.17906,            0.012233,             0.78726,             0.30543,             0.29076,             0.17978,            0.041402,            0.083252,           0.0070043,            0.003763,            0.003763,            0.003763
                  65,            0.039694,             0.15904,             0.01079,             0.82387,             0.27041,             0.29103,             0.17243,            0.042022,            0.081442,           0.0070346,            0.003664,            0.003664,            0.003664
                  66,            0.041293,             0.17077,            0.012466,             0.79899,             0.29252,             0.29127,             0.17305,            0.041577,            0.082311,           0.0070373,            0.003565,            0.003565,            0.003565
                  67,            0.037769,             0.14825,            0.012214,             0.79807,             0.29592,              0.2929,              0.1706,            0.044384,              0.0816,           0.0069636,            0.003466,            0.003466,            0.003466
                  68,            0.040045,             0.14674,            0.010969,             0.82945,             0.27923,             0.30052,               0.191,            0.040281,            0.081257,           0.0070725,            0.003367,            0.003367,            0.003367
                  69,            0.038633,             0.16602,            0.011973,             0.26286,             0.40816,             0.30736,             0.18031,            0.042191,            0.081781,           0.0070131,            0.003268,            0.003268,            0.003268
                  70,            0.037609,             0.19948,             0.01005,             0.84775,             0.26802,             0.29217,               0.184,            0.040917,            0.084257,           0.0068475,            0.003169,            0.003169,            0.003169
                  71,            0.036393,             0.15576,            0.011659,             0.82491,             0.28089,             0.29531,             0.17353,            0.042191,            0.084023,           0.0068088,             0.00307,             0.00307,             0.00307
                  72,            0.040597,              0.1696,            0.011706,             0.80122,             0.28401,             0.28834,             0.17174,            0.042547,             0.08515,           0.0067631,            0.002971,            0.002971,            0.002971
                  73,            0.038641,             0.15381,            0.011245,             0.85294,              0.2619,             0.29351,             0.17984,            0.041241,            0.085303,           0.0068134,            0.002872,            0.002872,            0.002872
                  74,             0.03764,             0.16283,            0.014001,             0.84991,             0.26361,             0.29174,             0.17953,            0.040667,            0.086093,           0.0067576,            0.002773,            0.002773,            0.002773
                  75,            0.035632,             0.16398,             0.01061,             0.82427,             0.27303,             0.29191,             0.17268,            0.041723,             0.08819,           0.0066381,            0.002674,            0.002674,            0.002674
                  76,            0.037187,             0.14564,            0.011851,             0.81947,             0.28741,              0.2948,              0.1828,            0.040574,            0.085718,           0.0067458,            0.002575,            0.002575,            0.002575
                  77,             0.03651,             0.15151,           0.0078227,             0.81909,             0.29082,             0.29984,             0.18149,            0.041115,            0.085076,           0.0067722,            0.002476,            0.002476,            0.002476
                  78,            0.037991,             0.16832,            0.013154,             0.81915,             0.29111,              0.3024,             0.19217,            0.039128,            0.083869,           0.0067394,            0.002377,            0.002377,            0.002377
                  79,            0.036408,             0.16358,            0.013604,             0.81154,             0.31122,             0.30536,             0.17986,            0.041482,            0.086536,           0.0065729,            0.002278,            0.002278,            0.002278
                  80,            0.039608,             0.16591,            0.015545,             0.81307,             0.31332,             0.30635,              0.1972,            0.038618,            0.086046,            0.006562,            0.002179,            0.002179,            0.002179
                  81,            0.035204,             0.17069,              0.0129,             0.81041,             0.31293,             0.30304,             0.19002,            0.039885,            0.088162,           0.0065096,             0.00208,             0.00208,             0.00208
                  82,            0.035153,             0.14883,            0.012064,             0.80393,             0.31463,             0.29959,             0.19183,            0.039215,             0.08705,           0.0064042,            0.001981,            0.001981,            0.001981
                  83,            0.035745,             0.15928,            0.011819,             0.81616,             0.30102,             0.30786,             0.19447,            0.040193,            0.084878,           0.0064244,            0.001882,            0.001882,            0.001882
                  84,            0.038236,             0.16747,            0.014619,             0.81127,             0.31122,             0.31092,             0.20278,            0.039009,            0.082645,           0.0064399,            0.001783,            0.001783,            0.001783
                  85,            0.038286,             0.17743,             0.01495,              0.8037,             0.31463,             0.31165,             0.19805,            0.039218,            0.081763,           0.0065282,            0.001684,            0.001684,            0.001684
                  86,            0.032413,             0.13532,           0.0094831,             0.84721,             0.27053,             0.31467,             0.20765,            0.038448,            0.080741,           0.0066331,            0.001585,            0.001585,            0.001585
                  87,            0.034508,             0.16284,            0.010523,             0.29411,             0.31633,             0.31399,              0.2038,             0.03851,            0.081537,           0.0065563,            0.001486,            0.001486,            0.001486
                  88,            0.035114,             0.15195,            0.010403,             0.80795,             0.30543,             0.31592,              0.2049,             0.03806,            0.081598,           0.0064752,            0.001387,            0.001387,            0.001387
                  89,            0.036297,             0.16437,            0.012083,             0.80562,             0.30612,             0.31421,             0.20561,            0.038043,            0.081926,           0.0064063,            0.001288,            0.001288,            0.001288
                  90,             0.03437,             0.13807,           0.0096467,             0.80628,             0.31729,             0.31351,             0.20566,             0.03788,            0.081641,           0.0063486,            0.001189,            0.001189,            0.001189
                  91,            0.032309,             0.14437,            0.010724,             0.80012,             0.32483,             0.31364,             0.20461,            0.037813,            0.081912,           0.0062595,             0.00109,             0.00109,             0.00109
                  92,            0.033565,             0.16796,            0.011823,             0.80438,             0.32483,             0.31203,             0.20476,            0.037564,            0.082814,            0.006168,            0.000991,            0.000991,            0.000991
                  93,            0.034424,             0.14243,            0.010296,             0.80245,             0.32807,             0.31193,             0.20539,            0.037452,            0.082743,           0.0061595,            0.000892,            0.000892,            0.000892
                  94,            0.034803,             0.14363,            0.012459,             0.79388,             0.33221,             0.30839,             0.20395,            0.037489,             0.08377,           0.0061427,            0.000793,            0.000793,            0.000793
                  95,            0.034481,               0.145,             0.01169,             0.80273,             0.31293,             0.30655,             0.20523,            0.037497,            0.084238,           0.0061357,            0.000694,            0.000694,            0.000694
                  96,            0.035104,             0.16403,            0.011327,             0.79553,             0.32313,             0.30837,             0.20451,            0.037527,            0.083912,           0.0061542,            0.000595,            0.000595,            0.000595
                  97,            0.032467,             0.14705,            0.012012,             0.29121,             0.32734,             0.30783,             0.20409,            0.037527,            0.084097,           0.0061339,            0.000496,            0.000496,            0.000496
                  98,            0.034208,             0.15471,            0.012936,             0.29154,             0.33163,              0.3094,             0.20498,            0.037549,             0.08396,           0.0061469,            0.000397,            0.000397,            0.000397
                  99,            0.036553,             0.18088,            0.012237,             0.81172,             0.30612,             0.31086,             0.20645,            0.037534,            0.083744,           0.0061467,            0.000298,            0.000298,            0.000298
