               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056055,             0.18545,            0.014184,             0.71301,              0.2466,             0.21502,            0.099377,            0.054344,            0.092518,           0.0072778,           0.0071125,           0.0071125,           0.0071125
                  37,             0.05696,             0.16572,            0.013663,             0.65602,             0.21259,             0.16011,            0.069965,            0.062707,            0.086875,           0.0072485,             0.00703,             0.00703,             0.00703
                  38,            0.058189,             0.17474,            0.013307,             0.75688,              0.2449,             0.23762,             0.11122,            0.053381,            0.087058,           0.0072568,           0.0069475,           0.0069475,           0.0069475
                  39,            0.048737,             0.20525,            0.012534,             0.69319,              0.2415,             0.19576,            0.081088,            0.057802,            0.094931,           0.0070385,            0.006865,            0.006865,            0.006865
                  40,            0.058469,              0.1906,             0.01456,             0.72806,             0.23469,             0.20314,             0.11047,            0.052691,            0.087065,           0.0072625,           0.0067825,           0.0067825,           0.0067825
                  41,            0.052809,             0.16582,            0.011052,             0.67877,              0.2585,             0.17752,            0.074448,            0.058495,            0.083707,           0.0074153,              0.0067,              0.0067,              0.0067
                  42,            0.051688,             0.17872,            0.011898,             0.75589,             0.27381,             0.24459,               0.134,             0.04867,            0.083817,            0.007587,           0.0066175,           0.0066175,           0.0066175
                  43,            0.047944,             0.17388,            0.012544,             0.74278,             0.22789,              0.2246,             0.09221,            0.055126,            0.081951,           0.0073228,            0.006535,            0.006535,            0.006535
                  44,            0.052281,             0.18483,             0.01114,             0.77453,             0.21122,             0.23479,             0.11894,            0.050745,            0.083033,            0.007314,           0.0064525,           0.0064525,           0.0064525
                  45,            0.051024,             0.18322,            0.014287,              0.7015,              0.2534,             0.21021,             0.11724,            0.051217,            0.090807,           0.0071971,             0.00637,             0.00637,             0.00637
                  46,            0.048448,             0.18432,             0.01073,             0.74631,              0.2609,             0.22917,             0.12197,            0.048625,            0.089151,           0.0070519,           0.0062875,           0.0062875,           0.0062875
                  47,            0.049301,             0.19948,            0.013268,             0.71424,             0.22449,              0.2037,             0.10685,            0.051648,            0.088313,           0.0072295,            0.006205,            0.006205,            0.006205
                  48,            0.050381,             0.17005,            0.011155,             0.76787,             0.27041,             0.26623,             0.15275,            0.045958,            0.082698,           0.0075729,           0.0061225,           0.0061225,           0.0061225
                  49,            0.044458,             0.19044,               0.012,             0.77933,              0.2585,             0.27762,             0.15183,            0.047389,            0.087048,           0.0074442,             0.00604,             0.00604,             0.00604
                  50,            0.049678,             0.21018,            0.012775,              0.7214,              0.2449,             0.24335,             0.14075,            0.050107,             0.08814,           0.0075314,           0.0059575,           0.0059575,           0.0059575
                  51,            0.043741,             0.16003,             0.01121,             0.71306,             0.23299,             0.21462,             0.12073,            0.051291,            0.081816,           0.0074751,            0.005875,            0.005875,            0.005875
                  52,            0.049372,             0.18697,            0.013274,             0.21452,             0.40136,             0.26496,              0.1454,            0.046262,            0.081361,           0.0075453,           0.0057925,           0.0057925,           0.0057925
                  53,            0.045072,             0.18719,            0.012109,             0.81709,              0.2381,             0.27748,             0.15459,             0.04826,            0.083757,           0.0073489,             0.00571,             0.00571,             0.00571
                  54,             0.04596,             0.15913,            0.013089,             0.77827,             0.27721,             0.27714,             0.15543,            0.046938,            0.082739,            0.007703,           0.0056275,           0.0056275,           0.0056275
                  55,            0.042866,             0.18894,            0.012562,              0.7597,             0.24262,              0.2464,             0.13843,             0.04996,            0.086857,           0.0077971,            0.005545,            0.005545,            0.005545
                  56,             0.04868,              0.1698,            0.012135,             0.82744,             0.23469,             0.26594,              0.1462,            0.048381,            0.084412,           0.0079407,           0.0054625,           0.0054625,           0.0054625
                  57,            0.044301,              0.1668,            0.010754,              0.7839,             0.23469,             0.24762,             0.14114,            0.048549,            0.084665,           0.0079462,             0.00538,             0.00538,             0.00538
                  58,            0.044459,             0.18132,            0.012589,             0.85947,             0.23927,             0.28178,             0.16565,            0.046052,             0.08456,           0.0079377,           0.0052975,           0.0052975,           0.0052975
